GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),GameParams(winCount),GameParams(gridSize),ColumnPieceCount(0),ColumnPieceCount(11),ColumnPieceCount(1),ColumnPieceCount(2),ColumnPieceCount(3),ColumnPieceCount(4),ColumnPieceCount(5),ColumnPieceCount(6),ColumnPieceCount(7),ColumnPieceCount(8),ColumnPieceCount(9),ColumnPieceCount(10)
1922123832,Connect4,31,GAME_OVER,64,1,2,3182,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1101499103,Connect4,31,GAME_OVER,64,1,2,3183,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-1196018201,Connect4,28,GAME_OVER,58,1,2,3184,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,2,8,8,8,8,8,8,0,0,0
243785932,Connect4,30,GAME_OVER,62,1,2,3185,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,8,8,6,8,0,0,0
822129325,Connect4,29,GAME_OVER,59,0,2,3186,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,8,8,8,6,8,5,8,0,0,0
1656773092,Connect4,28,GAME_OVER,58,1,2,3187,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,8,6,4,8,0,0,0
897967104,Connect4,29,GAME_OVER,60,1,2,3188,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,6,8,8,8,8,6,8,0,0,0
-807907530,Connect4,29,GAME_OVER,59,0,2,3189,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,8,8,8,8,5,8,6,0,0,0
1974314422,Connect4,31,GAME_OVER,64,1,2,3190,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-775418384,Connect4,31,GAME_OVER,64,1,2,3191,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1347285195,Connect4,31,GAME_OVER,64,1,2,3192,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
166242110,Connect4,31,GAME_OVER,64,1,2,3193,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1502067380,Connect4,31,GAME_OVER,64,1,2,3194,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-639948660,Connect4,31,GAME_OVER,64,1,2,3195,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-384590119,Connect4,31,GAME_OVER,64,1,2,3196,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-388173671,Connect4,31,GAME_OVER,64,1,2,3197,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-1028759505,Connect4,31,GAME_OVER,64,1,2,3198,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1239252275,Connect4,31,GAME_OVER,64,1,2,3199,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
