GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(CrabDuo),ActionsCount(DrawAndDiscard),ActionsCount(FishDuo),ActionsCount(SwimmerSharkDuo),ActionsCount(Stop),ActionsCount(LastChance),ActionsCount(BoatDuo),cardTypeCount(MULTIPLIER),cardTypeCount(COLLECTOR),cardTypeCount(MERMAID),cardTypeCount(DUO),cardSuiteCount(PENGUIN),cardSuiteCount(SWIMMER),cardSuiteCount(SHELL),cardSuiteCount(SHARK),cardSuiteCount(FISH),cardSuiteCount(OCTOPUS),cardSuiteCount(SAILOR),cardSuiteCount(MERMAID),cardSuiteCount(BOAT),cardSuiteCount(CRAB),cardColorCount(LIGHT_ORANGE),cardColorCount(WHITE),cardColorCount(PINK),cardColorCount(LIGHT_BLUE),cardColorCount(BLUE),cardColorCount(BLACK),cardColorCount(YELLOW),cardColorCount(PURPLE),cardColorCount(GREEN),cardColorCount(GREY),cardColorCount(ORANGE),ScoresPerRound(ScoresPerRound)
-1919414009,SeaSaltPaper,3,GAME_OVER,350,33,4,1337,seasaltpaper-4P-128,15.0,13.0,19.0,39.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,2,68,5,6,2,2,5,6,29,10,55,7,8,10,9,17,11,3,10,16,9,6,10,3,19,12,15,8,8,11,7,1,"[4.0, 5.0, 5.0, 7.0, 6.0, 7.0, 24.0, 10.0, 10.0, 12.0, 29.0, 17.0, 13.0, 15.0, 39.0, 19.0]"
1202100925,SeaSaltPaper,4,GAME_OVER,482,38,4,1338,seasaltpaper-4P-128,17.0,36.0,33.0,23.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,12,92,8,9,1,4,9,10,39,8,88,12,11,17,12,22,9,5,8,25,24,7,8,5,26,24,18,19,10,15,12,1,"[12.0, 2.0, 3.0, 5.0, 15.0, 6.0, 7.0, 16.0, 25.0, 8.0, 9.0, 19.0, 28.0, 11.0, 20.0, 23.0, 36.0, 17.0, 23.0, 33.0]"
2044512170,SeaSaltPaper,4,GAME_OVER,383,24,4,1339,seasaltpaper-4P-128,32.0,25.0,16.0,16.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,5,76,5,5,0,5,7,9,40,8,66,9,8,15,7,18,13,7,8,24,14,8,8,4,17,19,14,20,9,12,10,2,"[2.0, 7.0, 6.0, 8.0, 11.0, 8.0, 9.0, 10.0, 13.0, 19.0, 10.0, 11.0, 24.0, 22.0, 14.0, 13.0, 25.0, 32.0, 16.0, 16.0]"
2089162785,SeaSaltPaper,3,GAME_OVER,285,20,4,1340,seasaltpaper-4P-128,8.0,12.0,14.0,33.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,4,56,1,4,1,3,6,6,25,10,47,6,5,10,9,8,8,4,10,15,13,5,10,3,14,13,10,12,6,7,7,1,"[4.0, 1.0, 12.0, 2.0, 8.0, 4.0, 15.0, 10.0, 10.0, 6.0, 24.0, 12.0, 12.0, 8.0, 33.0, 14.0]"
-19816194,SeaSaltPaper,2,GAME_OVER,247,27,4,1341,seasaltpaper-4P-128,30.0,10.0,7.0,9.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,5,49,4,2,1,2,4,6,20,4,35,6,4,6,5,9,7,4,4,11,9,3,4,3,10,9,10,8,6,5,5,2,"[5.0, 7.0, 4.0, 3.0, 8.0, 18.0, 7.0, 5.0, 10.0, 30.0, 9.0, 7.0]"
-1689799612,SeaSaltPaper,4,GAME_OVER,418,29,4,1342,seasaltpaper-4P-128,18.0,12.0,34.0,29.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,6,76,8,13,0,5,5,8,34,8,83,10,14,13,14,22,9,6,8,18,19,7,8,3,23,21,17,18,9,15,9,3,"[1.0, 2.0, 9.0, 4.0, 4.0, 5.0, 20.0, 8.0, 7.0, 7.0, 23.0, 21.0, 9.0, 16.0, 26.0, 23.0, 12.0, 18.0, 29.0, 34.0]"
464388066,SeaSaltPaper,4,GAME_OVER,399,25,4,1343,seasaltpaper-4P-128,26.0,20.0,31.0,12.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,7,77,6,9,1,4,5,9,35,11,72,9,14,15,12,17,10,6,11,17,16,7,11,5,19,20,12,16,8,18,10,1,"[7.0, 6.0, 3.0, 1.0, 13.0, 12.0, 6.0, 10.0, 15.0, 15.0, 8.0, 19.0, 17.0, 24.0, 9.0, 22.0, 20.0, 26.0, 12.0, 31.0]"
-1516633522,SeaSaltPaper,3,GAME_OVER,301,24,4,1344,seasaltpaper-4P-128,30.0,13.0,13.0,18.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,6,57,3,5,1,3,4,7,21,7,56,4,7,8,8,14,5,6,7,15,17,4,7,4,14,16,10,11,6,8,9,2,"[3.0, 11.0, 2.0, 2.0, 6.0, 14.0, 14.0, 4.0, 8.0, 23.0, 16.0, 7.0, 13.0, 30.0, 18.0, 13.0]"
120915042,SeaSaltPaper,5,GAME_OVER,463,26,4,1345,seasaltpaper-4P-128,18.0,32.0,27.0,37.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,8,95,4,11,1,5,7,9,43,11,84,13,14,13,13,18,15,8,11,18,24,10,11,7,24,24,17,22,8,15,7,2,"[3.0, 1.0, 10.0, 2.0, 6.0, 4.0, 11.0, 11.0, 16.0, 6.0, 13.0, 15.0, 26.0, 14.0, 21.0, 19.0, 29.0, 16.0, 28.0, 23.0, 32.0, 18.0, 37.0, 27.0]"
275976192,SeaSaltPaper,4,GAME_OVER,455,35,4,1346,seasaltpaper-4P-128,41.0,19.0,27.0,23.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,5,91,8,8,1,4,8,9,40,14,74,7,8,18,11,23,12,7,14,21,16,5,14,3,23,23,17,20,8,13,8,3,"[4.0, 9.0, 8.0, 2.0, 8.0, 15.0, 16.0, 12.0, 10.0, 18.0, 18.0, 22.0, 13.0, 27.0, 21.0, 24.0, 19.0, 41.0, 23.0, 27.0]"
