GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),ColumnPieceCount(0),ColumnPieceCount(11),ColumnPieceCount(1),ColumnPieceCount(2),ColumnPieceCount(3),ColumnPieceCount(4),ColumnPieceCount(5),ColumnPieceCount(6),ColumnPieceCount(7),ColumnPieceCount(8),ColumnPieceCount(9),ColumnPieceCount(10)
1194842028,Connect4,10,GAME_OVER,21,0,2,714,connect4-64,-1.0,1.0,connect4-64,1,0,1,6,6,2,4,1,0,0,0,0
-1535201482,Connect4,22,GAME_OVER,46,1,2,715,connect4-64,1.0,-1.0,connect4-64,0,0,6,5,8,4,8,8,7,0,0,0
-35442836,Connect4,10,GAME_OVER,21,0,2,716,connect4-64,-1.0,1.0,connect4-64,4,0,0,6,5,2,4,0,0,0,0,0
671869199,Connect4,29,GAME_OVER,60,1,2,717,connect4-64,1.0,-1.0,connect4-64,8,0,8,8,8,8,8,4,8,0,0,0
1549335028,Connect4,10,GAME_OVER,21,0,2,718,connect4-64,-1.0,1.0,connect4-64,1,0,1,1,4,5,4,3,2,0,0,0
303479547,Connect4,19,GAME_OVER,40,1,2,719,connect4-64,1.0,-1.0,connect4-64,4,0,2,7,6,2,7,6,6,0,0,0
-660872991,Connect4,24,GAME_OVER,50,1,2,720,connect4-64,1.0,-1.0,connect4-64,3,0,7,7,7,5,6,8,7,0,0,0
1124863710,Connect4,9,GAME_OVER,19,0,2,721,connect4-64,-1.0,1.0,connect4-64,0,0,1,5,4,2,4,2,1,0,0,0
1546175828,Connect4,14,GAME_OVER,29,0,2,722,connect4-64,-1.0,1.0,connect4-64,0,0,0,4,5,6,6,5,3,0,0,0
-1596969197,Connect4,28,GAME_OVER,58,1,2,723,connect4-64,1.0,-1.0,connect4-64,4,0,8,8,6,8,8,8,8,0,0,0
-809234656,Connect4,26,GAME_OVER,54,1,2,724,connect4-64,1.0,-1.0,connect4-64,5,0,8,8,8,1,8,8,8,0,0,0
-1743249192,Connect4,19,GAME_OVER,40,1,2,725,connect4-64,1.0,-1.0,connect4-64,0,0,4,3,6,7,7,8,5,0,0,0
-1460491505,Connect4,9,GAME_OVER,19,0,2,726,connect4-64,-1.0,1.0,connect4-64,0,0,2,5,4,4,4,0,0,0,0,0
